Player ID,Player Nickname,First Name,Last Name,Nationality,Date of Birth,Individual Player Skill,Micro Skill,Laning,Reflexes,Abilities,Macro Skill,Awareness,Efficiency,Decisions,Mental Skill,Consistency,Creativity,Composure,Personality Attributes,Communication,Experience,Leadership,Photo URL
11,skiter,Oliver,Lepko,Slovakia,1998-09-12,8.3,8.3,9,8,8,8.3,8,9,8,7.7,8,8,7,7.4,7.8,8.6,6.0,https://liquipedia.net/commons/Special:Redirect/file/skiter_BLAST_Slam_VI_Dota.jpg
12,Malr1ne,Stanislav,Potorak,Russia,2004-09-17,8.8,9.0,9,9,9,8.7,8,9,9,8.7,9,8,9,8.6,8.3,5.3,7.9,https://liquipedia.net/commons/Special:Redirect/file/Malr1ne_2025_Team_Falcons.png
13,ATF,Ammar,Al-Assaf,Jordan,2005-04-03,8.8,9.0,9,9,9,8.7,8,9,9,9.0,9,9,9,8.5,8.5,4.7,7.8,https://liquipedia.net/commons/Special:Redirect/file/ATF_2025_Team_Falcons.png
14,Cr1t-,Andreas,Nielsen,Denmark,1996-07-13,9.0,9.0,9,9,9,9.0,9,9,9,9.3,9,9,10,8.5,9.9,9.7,8.5,https://liquipedia.net/commons/Special:Redirect/file/Cr1t-_Riyadh_Masters_2024.jpg
15,Sneyking,Jingjun,Wu,United States,1995-05-03,9.2,8.7,9,8,9,9.7,10,9,10,9.7,9,10,10,8.6,9.9,10.0,9.0,https://liquipedia.net/commons/Special:Redirect/file/Sneyking_2025_Team_Falcons.png
16,Natsumi,John,Anthony Vargas,Philippines,2001-08-08,9.1,8.8,9.1,9.3,8.7,8.5,8.7,8.8,8.7,8.6,9.2,8.6,8.9,8.6,8.3,6.9,7.3,https://liquipedia.net/commons/Special:Redirect/file/Natsumi_BLAST_Slam_VI_Dota.jpg
17,Yopaj-,Erin Jasper,Ferrer,Philippines,2001-08-26,8.9,9.4,8.6,9.1,9.3,8.5,8.8,9.0,8.5,8.4,9.0,9.5,8.7,8.4,8.9,6.9,7.7,https://liquipedia.net/commons/Special:Redirect/file/Yopaj_Esports_World_Cup_2025.jpg
18,Raven,Polo,Fausto,Philippines,1998-09-22,8.7,8.9,9.5,8.6,8.9,9.1,8.6,8.8,9.3,8.2,8.7,9.0,8.4,8.2,8.9,8.6,7.4,https://liquipedia.net/commons/Special:Redirect/file/Raven_2023_Blacklist_Rivalry.png
19,TIMS,Timothy John,Randrup,Philippines,1997-07-04,8.5,8.7,8.9,8.9,8.6,9.3,9.6,8.6,9.0,8.8,8.5,9.1,9.0,8.0,9.3,9.1,7.9,https://liquipedia.net/commons/Special:Redirect/file/TIMS_BLAST_Slam_VI_Dota.jpg
20,skem,Andrei,Ong,Philippines,2000-02-19,9.0,7.9,8.4,8.7,8.4,9.1,9.4,8.8,8.8,8.6,9.1,8.6,8.8,8.6,9.1,7.5,9.0,https://liquipedia.net/commons/Special:Redirect/file/skem_BLAST_Slam_VI_Dota.jpg
21,Kiritych,Ilya,Ulyanov,Russia,2003-02-21,8.8,9.4,8.8,9.1,9.2,8.3,8.4,9.4,9.2,8.4,8.9,9.1,8.6,8.3,8.8,5.8,7.0,https://liquipedia.net/commons/Special:Redirect/file/Kiritych_PGL_Wallachia_Season_6.jpg
22,gpk,Danil,Skutin,Russia,2001-08-23,9.0,9.0,9,9,9,9.0,9,9,9,7.7,8,8,7,7.9,8.3,6.9,7.1,https://liquipedia.net/commons/Special:Redirect/file/gpk_2025Q4_BetBoom_Team.png
23,MieRo`,Matvey,Vasyunin,Russia,2003-07-28,8.0,8.3,9,8,8,7.7,8,8,7,7.0,8,7,6,6.5,7,8,6,https://liquipedia.net/commons/Special:Redirect/file/MieRo_2025Q4_BetBoom_Team.png
24,Save-,Vitalie,Melnic,Moldova,2002-02-04,9.0,9.0,9,9,9,9.0,9,9,9,7.7,8,8,7,8.2,8.8,6.4,8.2,https://liquipedia.net/commons/Special:Redirect/file/Save-_2025Q4_BetBoom_Team.png
25,Kataomi`,Vladislav,Semenov,Russia,1999-08-01,8.0,7.9,8,8,8,8.2,8,8,8,7.6,8,8,8,6.5,8,7,7,https://liquipedia.net/commons/Special:Redirect/file/Kataomi_2025Q4_BetBoom_Team.png
26,Nightfall,Egor,Grigorenko,Russia,2002-05-16,8.8,9.0,9,9,9,8.7,8,10,8,7.3,8,7,7,7.6,8.0,6.4,6.2,https://liquipedia.net/commons/Special:Redirect/file/Nightfall_2025_Aurora_Gaming.png
27,Mikoto,Rafli,Fathur Rahman,Indonesia,2000-02-28,8.4,8.6,8,9,8,8.0,8,8,8,7.5,8,8,8,7,8,8,7,https://liquipedia.net/commons/Special:Redirect/file/Mikoto_2025_Aurora_Gaming.jpeg
28,Ws,Wei Shen,Chung,Malaysia,2005-06-25,8.6,8.9,8.6,8.6,8.8,8.3,8.5,8.8,8.4,8.2,8.7,8.2,8.4,8.2,8.9,4.7,7.4,https://liquipedia.net/commons/Special:Redirect/file/Ws_BLAST_Slam_II_Dota.jpg
29,Mira,Myroslav,Kolpakov,Ukraine,1999-11-03,8.0,8.0,8,8,8,8.0,8,8,8,6.3,6,6,7,6.8,8.2,8.0,6.8,https://liquipedia.net/commons/Special:Redirect/file/Mira_2025_Aurora_Gaming.png
30,kaori,Oleh,Medvedok,Ukraine,2002-07-19,8.2,7.8,8.4,7.8,8.4,9.0,9.4,7.9,8.8,8.5,8.3,8.5,8.8,7.7,9.1,6.4,8.2,https://liquipedia.net/commons/Special:Redirect/file/kaori_2025_PGL_Wallachia_Season_3.jpg
31,Ame,Chunyu,Wang,China,1997-04-07,8.8,8.3,8,8,9,9.3,9,9,10,8.3,9,7,9,8.4,8.1,9.1,7.1,https://liquipedia.net/commons/Special:Redirect/file/Ame_2026_Xtreme_Gaming.png
32,NothingToSay,Jin Xiang,Cheng,Malaysia,2000-12-21,9.0,9.0,9,9,9,8.8,9,9,9,8.4,9,9,9,7,8,8,7,https://liquipedia.net/commons/Special:Redirect/file/NothingToSay_2026_Xtreme_Gaming.png
33,Xxs,Jing,Lin,China,1999-08-21,8.7,8.3,9,8,8,9.0,9,9,9,8.3,9,8,8,7.9,8.6,8.0,7.1,https://liquipedia.net/commons/Special:Redirect/file/Xxs_2026_Xtreme_Gaming.png
34,fy,Linsen,Xu,China,1995-02-12,8.7,8.4,8,8,8,9.0,9,9,9,8.7,9,8,9,7,9,10,8,https://liquipedia.net/commons/Special:Redirect/file/fy_2026_Xtreme_Gaming.png
35,xNova,Jian Wei,Yap,Malaysia,1997-10-01,8.3,8.0,8,8,8,8.5,9,8,8,8.0,8,7,8,7,8,9,8,https://liquipedia.net/commons/Special:Redirect/file/xNova_2026_Xtreme_Gaming.png
36,miCKe,Michael,Vu,Sweden,1999-07-26,8.5,8.7,8,9,9,8.3,8,9,8,8.3,8,9,8,7.9,8.4,8.0,6.6,https://liquipedia.net/commons/Special:Redirect/file/miCKe_PGL_Wallachia_Season_1.jpg
37,Nisha,Michał,Jankowski,Poland,2000-09-28,9.2,9.3,9,9,10,9.0,9,9,9,9.0,9,9,9,8.4,8.8,7.5,7.6,https://liquipedia.net/commons/Special:Redirect/file/Nisha_PGL_Wallachia_Season_1.jpg
38,Ace,Marcus,Christensen,Denmark,1994-01-19,9.0,9.0,9,9,9,9.0,9,9,9,8.7,9,9,8,8.7,8.7,10.0,8.0,https://liquipedia.net/commons/Special:Redirect/file/Ace_2025_PGL_Wallachia_Season_6.jpg
39,Boxi,Samuel,Svahn,Sweden,1998-04-10,8.2,8.0,8,8,8,8.3,9,8,8,8.3,8,9,8,7.9,9.2,8.6,7.8,https://liquipedia.net/commons/Special:Redirect/file/Boxi_ESL_One_Kuala_Lumpur_2023.jpg
40,tOfu,Erik,Engel,Germany,1996-08-14,8.8,9.0,9,9,9,8.7,9,8,9,8.7,9,9,8,8.2,9.5,9.7,8.6,https://liquipedia.net/commons/Special:Redirect/file/TOfu_2025_PGL_Wallachia_Season_6.jpg
41,gotthejuice,Taras,Linnikov,Ukraine,2005-05-07,7.9,8.5,8.7,8.2,8.3,8.2,8.3,8.5,8.3,8.3,8.0,8.3,8.5,7.5,7.9,4.7,6.1,https://liquipedia.net/commons/Special:Redirect/file/gotthejuice_BLAST_Slam_VI_Dota.jpg
42,Niku,Artem,Bachkur,Ukraine,2009-02-06,8.5,8.3,8.2,8.8,8.1,8.2,8.4,7.9,8.1,8.1,8.6,8.4,8.3,8.0,7.7,2.5,7.3,https://liquipedia.net/commons/Special:Redirect/file/Niku_BLAST_Slam_VI_Dota.jpg
43,pma,Yurii,Prots,Ukraine,2006-05-02,8.3,8.6,8.3,8.3,8.5,7.9,8.2,8.4,8.1,7.8,8.4,8.6,8.1,7.8,8.6,4.2,7.1,https://liquipedia.net/commons/Special:Redirect/file/pma_BLAST_Slam_VI_Dota.jpg
44,daze,Tamir,Tokpanov,Kazakhstan,2005-12-20,8.1,8.3,8.6,7.7,8.3,8.9,8.5,8.2,8.7,7.6,8.2,8.7,7.9,7.6,9.0,4.7,7.6,https://liquipedia.net/commons/Special:Redirect/file/daze_2026_Natus_Vincere.webp
45,Riddys,Stanislav,Mitroshkyn,Ukraine,2005-11-07,7.9,7.5,8.1,8.3,8.1,8.7,9.1,7.6,8.5,8.2,8.0,8.2,8.5,7.4,8.7,4.7,8.6,https://liquipedia.net/commons/Special:Redirect/file/NAVI_Riddys_at_the_2025_Esports_World_Club.jpg
46,SumaiL,Sumail,Hassan,Pakistan,1999-02-13,9.0,9.2,9,9,9,8.6,8,9,9,7.8,8,9,8,6.5,8,9,7,https://liquipedia.net/commons/Special:Redirect/file/SumaiL_2025_PGL_Wallachia_Season_3.jpg
47,lorenof,Artem,Melnick,Ukraine,2002-11-06,8.2,8.8,7.9,8.5,8.6,7.9,8.1,8.4,8.6,7.8,8.3,8.9,8.0,7.8,8.2,6.4,7.0,https://liquipedia.net/commons/Special:Redirect/file/lorenof_Esports_World_Cup_2025.jpg
48,Davai,Cedric,Deckmyn,Belgium,2000-08-03,8.0,8.3,8.8,8.0,8.2,8.5,7.9,8.2,8.6,7.6,8.1,8.4,8.6,7.6,8.3,7.5,6.8,https://liquipedia.net/commons/Special:Redirect/file/Davai_Lama_Esports_World_Cup_2025.jpg
49,OmaR,Omar,Moughrabi,Lebanon,2002-11-28,8.6,8.1,8.3,8.3,8.0,8.7,9.0,7.9,8.4,8.1,7.9,8.4,8.4,8.1,8.7,6.4,8.1,https://liquipedia.net/commons/Special:Redirect/file/OmaR_2024_PGL_Wallachia_Season_2.jpg
50,GH,Maroun,Merhej,Lebanon,1995-06-17,8.4,8.0,7.8,8.0,8.6,8.4,8.8,8.1,8.2,7.9,8.5,7.9,8.2,7.9,8.5,10.0,8.4,https://liquipedia.net/commons/Special:Redirect/file/GH_2025_PGL_Wallachia_Season_3.jpg
51,Lou,Zhen,Lou,China,2001-08-18,8.2,8.7,8.2,8.4,8.6,8.4,7.8,8.7,8.6,7.7,8.3,8.5,8.0,7.7,8.2,6.9,6.3,https://liquipedia.net/commons/Special:Redirect/file/Lou_2026_Yakult_Brothers.Tearlaments.png
52,Setsu,Zhenxiong,Gao,China,1999-02-14,8.0,8.5,8.5,8.2,8.4,8.4,8.7,8.1,8.3,8.3,8.0,8.6,8.5,7.5,7.9,8.0,6.7,https://liquipedia.net/commons/Special:Redirect/file/Setsu-RNG_2019.jpg
53,项羽,Longwu,Li,China,2003-09-17,8.5,8.0,8.5,8.5,7.9,8.2,8.4,7.9,8.3,8.1,8.6,8.1,8.3,8.1,8.0,5.8,7.3,https://liquipedia.net/commons/Special:Redirect/file/项羽_2023_Invictus_Gaming.png
54,kaka,Liangzhi,Hu,China,1992-11-07,8.3,8.6,8.0,8.0,8.5,8.4,8.7,8.5,8.1,7.9,8.4,8.2,8.1,7.9,9.2,10.0,7.8,https://liquipedia.net/commons/Special:Redirect/file/kaka_DreamLeague_Season_13.jpg
55,天命,An,Jiang,China,1996-03-01,8.1,7.8,8.3,7.8,8.3,9.0,8.5,7.9,8.7,7.6,8.2,8.4,7.9,7.6,9.0,9.7,8.1,https://liquipedia.net/commons/Special:Redirect/file/天命_2026_Yakult_Brothers.png
56,Pure,Ivan,Moskalenko,Russia,2004-02-06,7.6,8.2,8.4,8.7,8.0,7.9,8.0,8.2,8.0,8.0,7.7,7.9,8.2,7.1,7.6,5.3,5.8,https://liquipedia.net/commons/Special:Redirect/file/Pure_2026_1w_Team.webp
57,bzm,Bozhidar,Bogdanov,Bulgaria,2005-04-22,8.2,8.0,7.9,8.4,7.8,7.8,8.1,8.3,7.8,7.7,8.3,8.0,8.0,7.7,7.4,4.7,7.0,https://liquipedia.net/commons/Special:Redirect/file/bzm_2026_1w_Team.webp
58,33,Neta,Shapira,Israel,1997-04-17,9.0,8.7,9,8,9,9.3,9,9,10,9.3,9,9,10,8.6,9.4,9.1,7.9,https://liquipedia.net/commons/Special:Redirect/file/33_2026_1w_Team.webp
59,Ari,Matthew,Walker,United Kingdom,2003-01-24,7.8,8.0,8.3,7.4,8.0,8.6,8.2,7.9,8.4,7.3,7.9,8.4,8.3,7.3,8.6,5.8,7.2,https://liquipedia.net/commons/Special:Redirect/file/Ari_2026_1w_Team.webp
60,Whitemon,Matthew,Filemon,Indonesia,2000-07-22,8.4,7.2,7.8,8.0,7.7,8.4,8.7,7.3,8.1,7.9,7.6,7.9,8.1,7.1,8.4,7.5,8.3,https://liquipedia.net/commons/Special:Redirect/file/Whitemon_2026_1w_Team.webp
61,Akashi,Eljohn,Canonigo Andales,Philippines,2002-12-07,8.1,7.9,8.1,8.4,8.5,7.6,7.7,8.7,7.7,7.7,8.2,7.7,7.9,7.7,7.3,6.4,6.3,
62,Bob,Mark Anthony,Urbina,Philippines,2000-09-13,7.9,8.5,7.6,8.2,8.3,8.4,7.8,8.1,8.3,7.5,8.0,8.6,7.7,7.4,7.9,7.5,6.7,https://liquipedia.net/commons/Special:Redirect/file/Bob_2023_Execration.png
63,Tino,Justine Ryan,Grimaldo,Philippines,2000-06-21,7.7,8.0,8.5,7.7,7.9,8.1,7.6,7.8,8.3,8.0,7.8,8.0,8.3,7.2,8.0,7.5,6.5,https://liquipedia.net/commons/Special:Redirect/file/Tino_Esports_World_Cup_2025.jpg
64,Shanks,Mark Jubert,Redira,Philippines,1998-07-21,8.3,7.7,8.0,7.9,7.7,8.3,8.7,7.6,8.1,7.8,8.4,8.1,8.1,7.8,8.4,8.6,7.8,https://liquipedia.net/commons/Special:Redirect/file/Shanks_Esports_World_Cup_2025.jpg
65,cml,Bryle,Jacob Alvizo,Philippines,1998-03-17,8.1,7.7,7.5,7.7,8.3,8.1,8.5,7.8,7.9,7.6,8.2,7.6,7.9,7.6,8.9,8.6,8.0,https://liquipedia.net/commons/Special:Redirect/file/cml_Esports_World_Cup_2025.jpg
66,Timado,Enzo,Gianoli,Peru,2000-09-06,7.9,8.4,8.7,8.1,8.3,8.1,7.4,8.4,8.2,7.4,7.9,8.2,7.6,7.4,7.8,7.5,6.0,https://liquipedia.net/commons/Special:Redirect/file/Timado_2026_Virtus.pro.webp
67,Abed,Abed,Yusop,Philippines,2000-08-02,7.6,8.2,8.1,7.9,8.0,8.1,8.3,7.8,8.0,8.0,7.7,8.3,8.2,7.2,7.6,7.5,6.4,https://liquipedia.net/commons/Special:Redirect/file/Abed_2026_Virtus.pro.webp
68,SaberLight,Jonáš,Volek,Czech Republic,2000-10-13,8.2,7.7,8.2,8.2,7.6,7.9,8.1,8.4,8.0,7.8,8.3,7.8,8.0,7.8,7.7,7.5,7.0,https://liquipedia.net/commons/Special:Redirect/file/SaberLight_2026_Virtus.pro.webp
69,Hellscream,Kirill,Lagutik,Belarus,2001-03-12,8.0,8.3,7.7,7.7,8.2,8.1,8.4,8.1,7.8,7.5,8.1,8.6,7.8,7.5,8.9,6.9,7.5,https://liquipedia.net/commons/Special:Redirect/file/Hellscream_2026_Virtus.pro.webp
70,Fly,Tal,Aizik,Israel,1993-03-09,7.8,7.4,8.0,7.4,8.0,8.6,8.2,7.5,8.4,7.3,7.9,8.1,8.4,7.3,8.7,10.0,7.8,https://liquipedia.net/commons/Special:Redirect/file/Fly_2026_Virtus.pro.webp
71,Somnus,Yao,Lu,China,1995-12-16,7.3,7.8,7.8,8.3,7.7,7.7,8.0,7.4,7.7,7.6,7.4,7.9,7.9,6.8,7.3,10.0,6.9,https://liquipedia.net/commons/Special:Redirect/file/Somnus_2021_Elephant.png
72,Crystallis,Remco,Arets,Netherlands,2001-10-26,7.0,6.8,7.0,7.3,7.4,6.5,6.6,7.6,6.6,6.6,7.1,6.6,6.8,6.6,6.2,6.9,5.2,https://liquipedia.net/commons/Special:Redirect/file/Crystallis_BLAST_Slam_III_Dota.jpg
73,MidOne,Nai Zheng,Yeik,Malaysia,1996-06-03,6.8,7.4,6.5,7.1,7.2,6.5,6.7,7.0,7.2,6.4,6.9,7.5,6.6,6.4,6.8,9.7,5.6,https://liquipedia.net/commons/Special:Redirect/file/MidOne_PGL_Wallachia_Season_6.jpg
74,BOOM,Miroslav,Bičan,Czech Republic,2000-05-02,6.6,6.9,7.4,6.6,6.8,7.1,6.5,6.7,7.2,6.9,6.7,6.9,7.2,6.1,6.9,7.5,5.4,https://liquipedia.net/commons/Special:Redirect/file/BOOM_PGL_Wallachia_Season_1.jpg
75,yamich,Daniyal,Lazebnyy,Russia,2001-03-07,7.2,6.6,6.9,6.8,6.6,7.2,7.6,6.5,7.0,6.7,6.5,7.0,7.0,6.7,7.3,6.9,6.7,https://liquipedia.net/commons/Special:Redirect/file/yamich_2022_Virtus.pro.png
76,panto,Nikita,Balaganin,Belarus,1999-06-15,7.7,7.5,7.4,7.6,7.6,8.4,8.5,8.3,8.3,8.0,7.9,7.8,8.0,6.8,8.4,7.2,7.2,https://liquipedia.net/commons/Special:Redirect/file/panto_2025_Aurora_Gaming.png
77,dream`,Kyial,Tayirov,Kyrgyzstan,2000-03-28,6.5,7.0,6.5,6.7,6.9,6.7,6.1,7.0,6.9,6.0,6.6,6.8,6.3,6.0,6.5,7.5,4.7,https://liquipedia.net/commons/Special:Redirect/file/Dream`_StarLadder_Minor_S3.jpg
78,Worick,Vitaliy,Brezgin,Russia,1999-09-20,6.3,6.8,6.8,6.5,6.7,6.7,7.0,6.4,6.7,6.6,6.3,6.9,6.8,5.8,6.2,8.0,5.0,
79,nefrit,Dmitry,Tarasich,Ukraine,1997-02-24,6.9,6.3,6.8,6.8,6.2,6.5,6.7,6.2,6.6,6.4,6.9,6.4,6.6,6.4,6.3,9.1,5.6,https://liquipedia.net/commons/Special:Redirect/file/nefrit_2024_NAVI.png
80,dEsire,Athanasios,Kartsabas,Greece,1997-06-03,6.6,6.9,6.3,6.3,6.8,6.7,7.0,6.8,6.4,6.2,6.7,7.3,6.4,6.2,7.5,9.1,6.1,https://liquipedia.net/commons/Special:Redirect/file/dEsire_2024_PGL_Wallachia_Season_2.jpg
81,MoOz,Joel,Eduardo Mori Ozambela,Peru,1998-01-24,6.4,6.1,6.6,6.1,6.6,7.3,6.8,6.2,7.0,6.0,6.5,6.7,6.2,5.9,7.3,8.6,6.4,https://liquipedia.net/commons/Special:Redirect/file/MoOz_Riyadh_Masters_2024.jpeg
82,Mirage`,Miras,Mutanov,Kazakhstan,2001-06-13,7.3,7.9,7.8,8.4,7.7,7.8,8.0,7.5,7.7,7.7,7.4,8.0,7.9,6.8,7.3,6.9,6.9,https://liquipedia.net/commons/Special:Redirect/file/Mirage_2026_L1GA_TEAM.webp
83,Vazya,Ivan,German,Russia,1996-09-18,7.9,7.7,7.6,8.2,7.5,7.5,7.8,8.0,7.5,7.4,8.0,7.7,7.7,7.4,7.1,9.7,6.7,https://liquipedia.net/commons/Special:Redirect/file/Corrupted_2026_L1GA_TEAM.webp
84,sayuw,Oleg,Kalenbet,Russia,1997-08-26,7.7,8.2,7.4,7.9,8.1,7.3,7.6,7.8,8.1,7.2,7.8,8.3,7.5,7.2,7.7,9.1,6.5,https://liquipedia.net/commons/Special:Redirect/file/sayuw_2026_L1GA_TEAM.webp
85,RESPECT,Egor,Procurat,Belarus,2000-10-18,7.5,8.0,8.0,7.7,7.9,7.9,7.4,7.6,7.9,7.0,7.6,8.1,8.1,7.0,7.4,7.5,6.2,https://liquipedia.net/commons/Special:Redirect/file/RESPECT_2026_L1GA_TEAM.webp
86,Yuma,Yuma,Langlet,Nicaragua,2001-04-18,6.9,6.7,6.9,7.2,6.5,6.4,6.5,6.7,6.5,6.5,6.2,6.5,6.7,6.5,6.1,6.9,5.1,https://liquipedia.net/commons/Special:Redirect/file/Yuma_Esports_World_Cup_2025.jpg
87,TaiLung,Santiago,Agüero Gustavo,Peru,2009-05-06,6.7,7.3,6.4,7.0,7.1,6.4,6.6,6.9,6.3,6.3,6.8,6.6,6.5,6.2,5.9,2.5,5.5,https://liquipedia.net/commons/Special:Redirect/file/TaiLung_BLAST_Slam_VI_Dota.jpg
88,Wisper,Adrián,Dobles,Bolivia,2001-11-03,6.5,6.8,6.5,6.5,6.7,6.9,6.4,6.6,7.1,6.0,6.6,6.8,6.3,6.0,6.8,6.9,5.3,https://liquipedia.net/commons/Special:Redirect/file/Wisper_BLAST_Slam_VI_Dota.jpg
89,Thiolicor,Thiago,de Oliveira Cordeiro,Brazil,1999-08-10,6.3,6.5,6.8,5.9,6.5,7.1,6.7,6.4,6.9,6.6,6.4,6.9,6.9,5.8,7.2,8.0,5.8,https://liquipedia.net/commons/Special:Redirect/file/Thiolicor_BLAST_Slam_VI_Dota.jpg
90,KJ,Matheus,Santos Jungles Diniz,Brazil,1999-10-23,6.9,5.7,6.3,6.5,6.3,6.9,7.3,5.8,6.7,6.4,7.0,6.4,6.7,6.4,6.9,8.0,6.8,https://liquipedia.net/commons/Special:Redirect/file/KJ_BLAST_Slam_VI_Dota.jpg
91,watson,Alimzhan,Islambekov,Kazakhstan,1999-08-20,7.9,8.0,7.9,7.9,7.8,7.6,7.5,8.0,7.5,7.4,7.6,7.5,7.6,7.2,7.3,7.6,4.8,https://liquipedia.net/commons/Special:Redirect/file/watson_BLAST_Slam_VI_Dota.jpg
92,CHIRA_JUNIOR,Ilya,Chirtsov,Russia,2003-03-10,7.3,7.5,7.2,7.4,7.5,7.1,7.0,7.1,7.0,6.8,6.9,7.4,6.9,6.8,7.0,6.8,5.0,https://liquipedia.net/commons/Special:Redirect/file/CHIRA_JUNIOR_BLAST_Slam_VI_Dota.jpg
93,DM,Dmitry,Dorokhin,Russia,1998-04-12,7.4,7.0,7.2,7.0,7.2,7.6,7.8,7.1,7.7,7.5,7.4,7.0,7.6,7.6,7.8,8.2,7.5,https://liquipedia.net/commons/Special:Redirect/file/DM_2024_PARIVISION.png
94,Saksa,Martin,Sazdov,North Macedonia,1996-06-21,7.6,7.4,7.2,7.5,7.4,7.8,8.1,7.3,7.9,7.7,7.6,7.8,7.8,7.7,8.1,8.0,6.5,https://liquipedia.net/commons/Special:Redirect/file/Saksa_BLAST_Slam_VI_Dota.jpg
95,Malady,Arman,Orazbayev,Kazakhstan,2001-09-05,7.0,6.7,6.8,6.9,6.8,7.4,7.6,6.7,7.4,7.2,7.1,7.0,7.3,7.4,7.7,7.0,6.8,https://liquipedia.net/commons/Special:Redirect/file/Malady_BLAST_Slam_VI_Dota.jpg
